feature_name,data_type,encoding_method,group,description
f_inValEmails_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_inValEmails_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network/Contact Indicators,Embedding component derived from email-like strings that do not match expected valid patterns.
f_longWord_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_longWord_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from unusually long tokens/words.
f_specialKeyword_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_specialKeyword_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Behavioral Strings,Embedding component derived from security- or behavior-related keywords.
f_ipaddresses_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_ipaddresses_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Network Indicators,Embedding component derived from IP addresses extracted from executable strings.
f_sentences_0,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_1,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_2,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_3,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_4,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_5,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_6,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_7,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_8,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_9,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_10,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_11,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_12,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_13,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_14,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_sentences_15,Text-derived embedding component,SBERT embedding + pooling (F2Vec),Printable Strings,Embedding component derived from sentence-like printable text recovered from the executable.
f_ImportsList_open_0,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_1,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_2,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_3,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
f_ImportsList_open_4,API/function-name-derived embedding component,SBERT embedding + pooling (F2Vec),Import APIs – Open,"Embedding component derived from imported API/function names associated with opening files, objects, processes, registry keys, or other resources."
